14,4.600,3.739,3.344,3.112,2.958,2.848,2.764,2.699,2.646,2.602,2.565,2.534,2.507,2.484,2.463,2.388,2.266,2.223,2.178,2.155
15,4.543,3.682,3.287,3.056,2.901,2.790,2.707,2.641,2.588,2.544,2.507,2.475,2.448,2.424,2.403,2.328,2.204,2.160,2.114,2.090
16,4.494,3.634,3.239,3.007,2.852,2.741,2.657,2.591,2.538,2.494,2.456,2.425,2.397,2.373,2.352,2.276,2.151,2.106,2.059,2.035
17,4.451,3.592,3.197,2.965,2.810,2.699,2.614,2.548,2.494,2.450,2.413,2.381,2.353,2.329,2.308,2.230,2.104,2.058,2.011,1.986
18,4.414,3.555,3.160,2.928,2.773,2.661,2.577,2.510,2.456,2.412,2.374,2.342,2.314,2.290,2.269,2.191,2.063,2.017,1.968,1.943
19,4.381,3.522,3.127,2.895,2.740,2.628,2.544,2.477,2.423,2.378,2.340,2.308,2.280,2.256,2.234,2.155,2.026,1.980,1.930,1.905
20,4.351,3.493,3.098,2.866,2.711,2.599,2.514,2.447,2.393,2.348,2.310,2.278,2.250,2.225,2.203,2.124,1.994,1.946,1.896,1.870
21,4.325,3.467,3.072,2.840,2.685,2.573,2.488,2.420,2.366,2.321,2.283,2.250,2.222,2.197,2.176,2.096,1.965,1.916,1.866,1.839
22,4.301,3.443,3.049,2.817,2.661,2.549,2.464,2.397,2.342,2.297,2.259,2.226,2.198,2.173,2.151,2.071,1.938,1.889,1.838,1.811
23,4.279,3.422,3.028,2.796,2.640,2.528,2.442,2.375,2.320,2.275,2.236,2.204,2.175,2.150,2.128,2.048,1.914,1.865,1.813,1.785
24,4.260,3.403,3.009,2.776,2.621,2.508,2.423,2.355,2.300,2.255,2.216,2.183,2.155,2.130,2.108,2.027,1.892,1.842,1.790,1.762
25,4.242,3.385,2.991,2.759,2.603,2.490,2.405,2.337,2.282,2.236,2.198,2.165,2.136,2.111,2.089,2.007,1.872,1.822,1.768,1.740
26,4.225,3.369,2.975,2.743,2.587,2.474,2.388,2.321,2.265,2.220,2.181,2.148,2.119,2.094,2.072,1.990,1.853,1.803,1.749,1.720
27,4.210,3.354,2.960,2.728,2.572,2.459,2.373,2.305,2.250,2.204,2.166,2.132,2.103,2.078,2.056,1.974,1.836,1.785,1.731,1.702
28,4.196,3.340,2.947,2.714,2.558,2.445,2.359,2.291,2.236,2.190,2.151,2.118,2.089,2.064,2.041,1.959,1.820,1.769,1.714,1.685
29,4.183,3.328,2.934,2.701,2.545,2.432,2.346,2.278,2.223,2.177,2.138,2.104,2.075,2.050,2.027,1.945,1.806,1.754,1.698,1.669
30,4.171,3.316,2.922,2.690,2.534,2.421,2.334,2.266,2.211,2.165,2.126,2.092,2.063,2.037,2.015,1.932,1.792,1.740,1.683,1.654
40,4.085,3.232,2.839,2.606,2.449,2.336,2.249,2.180,2.124,2.077,2.038,2.003,1.974,1.948,1.924,1.839,1.693,1.637,1.577,1.544
50,4.034,3.183,2.790,2.557,2.400,2.286,2.199,2.130,2.073,2.026,1.986,1.952,1.921,1.895,1.871,1.784,1.634,1.576,1.511,1.476
60,4.001,3.150,2.758,2.525,2.368,2.254,2.167,2.097,2.040,1.993,1.952,1.917,1.887,1.860,1.836,1.748,1.594,1.534,1.467,1.430
80,3.960,3.111,2.719,2.486,2.329,2.214,2.126,2.056,1.999,1.951,1.910,1.875,1.845,1.817,1.793,1.703,1.545,1.482,1.411,1.370
100,3.936,3.087,2.696,2.463,2.305,2.191,2.103,2.032,1.975,1.927,1.886,1.850,1.819,1.792,1.768,1.676,1.515,1.450,1.376,1.333
120,3.920,3.072,2.680,2.447,2.290,2.175,2.087,2.016,1.959,1.910,1.869,1.834,1.803,1.775,1.750,1.659,1.495,1.429,1.352,1.307
240,3.881,3.033,2.642,2.409,2.252,2.136,2.048,1.977,1.919,1.870,1.829,1.793,1.761,1.733,1.708,1.614,1.445,1.375,1.290,1.237
